,level,level_id,objectid,mill_id,mill,fid_1,globalid,created_user,created_date,last_edited_user,last_edited_date,st_area(shape),st_length(shape),region_id,region,farm_id,farm,block_id,block,paddock_id,variety_id,paddock,variety,plant_date
0,Mill,1,1,1,Jagebob Mill,1,{CF991086-07FE-4938-AE2F-24895FE58BEE},,,,,343977019.9518076,82730.47747825756,,,,,,,,,,,
1,Region,2,1,1,Jagebob Mill,JAGF,{5D057371-AD76-473A-A73F-398136668773},,,,,343977019.9518076,82730.47747825756,1,JAGF,,,,,,,,,
2,Farm,3,1,1,Jagebob Mill,1,{8A0255EB-50D6-4B96-B5BD-01928319CB76},,,,,49549240.59192945,164321.90326358238,1,JAGF,1,1,,,,,,,
3,Farm,3,2,1,Jagebob Mill,2,{D8196674-3304-4D87-BF4E-83271B121648},,,,,56583232.03575248,108369.20007072535,1,JAGF,2,2,,,,,,,
4,Farm,3,3,1,Jagebob Mill,3,{5B04352A-E3C6-43A6-9125-01FCF04B4974},,,,,32289228.306792136,69827.5338509498,1,JAGF,3,3,,,,,,,
5,Farm,3,4,1,Jagebob Mill,4,{07F2420A-B6E5-4D77-A0B7-6F371BEFA08D},,,,,53108616.46912506,79328.01779333483,1,JAGF,4,4,,,,,,,
6,Farm,3,5,1,Jagebob Mill,5,{DC24E92A-2E83-4B77-B89E-64FAA68FC2BA},,,,,41812587.15787316,107815.94863898041,1,JAGF,5,5,,,,,,,
7,Block,4,1,1,Jagebob Mill,1-A,{C4B80BED-C797-4F32-AB65-9646F5FC67FB},,,,,5844849.402105655,29162.220096830482,1,JAGF,1,1,A,A,,,,,
8,Block,4,2,1,Jagebob Mill,1-B,{4F1AD376-DE56-4C64-9A13-D225A2989E36},,,,,5247407.31230654,24317.166341557895,1,JAGF,1,1,B,B,,,,,
9,Block,4,3,1,Jagebob Mill,1-C,{6ED61763-23E0-47AA-82BD-99C4E7A0789B},,,,,9360629.02928935,52939.397022813144,1,JAGF,1,1,C,C,,,,,
10,Block,4,4,1,Jagebob Mill,1-D,{956D19C3-4CCD-4A04-914F-8FDE62617C0F},,,,,8542030.930065595,29498.01315033598,1,JAGF,1,1,D,D,,,,,
